include,house,area,building,floor,room,rack,rack-make,rack-u-count,rack-model,tag,rack-position,name,type,make,model,Mgmt IP,Service IP,OS,Cluster IP,Remarks
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2046NMG00B,1-3,T8-2 App 02,Server,Oracle ,Oracle T8-2,10.60.8.17,172.21.0.13,Solaris 11.4,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2046NMG00A,4-6,T8-2 App 01,Server,Oracle ,Oracle T8-2,10.60.8.15,172.21.0.12,Solaris 11.4,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2046NMG009,7-9,T8-2 UAT,Server,Oracle ,Oracle T8-2,10.60.8.19,172.21.30.12,Solaris 11.4,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2047XC209J,10-11,ZFS Controller 01,Storage,Oracle ,Oracle ZS7-2,10.60.8.58,10.60.8.56,OS 8.72,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2047XC209Y,12-13,ZFS Controller 02,Storage,Oracle ,Oracle ZS7-2,10.60.8.60,10.60.8.57,OS 8.72,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2046NMS801,14-15,ZFS Disk Self 01,Storage,Oracle ,Oracle DE3-24P,,,,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2046NMQ804,16-19,ZFS Disk Self 02,Storage,Oracle ,Oracle DE3-24C,,,,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2046NMQ805,20-23,ZFS Disk Self 03,Storage,Oracle ,Oracle DE3-24C,,,,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2117XCB00B,25,X8-2 App 01,Server,Oracle ,Oracle X8-2,10.60.24.25,172.21.0.14,Oracle Linux 7.9,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2117XCB00D,26,X8-2 App 02,Server,Oracle ,Oracle X8-2,10.60.24.27,172.21.0.15,Oracle Linux 7.9,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2117XCB009,27,X8-2 Web,Server,Oracle ,Oracle X8-2,10.60.24.29,172.21.25.12,Oracle Linux 7.9,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,2117XCB00E,28,X8-2 DNS,Server,Oracle ,Oracle X8-2,10.60.24.12,172.21.1.12,Oracle Linux 7.9,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,952115000425,30-31,"edcawbackupstorage-01, edcawbackupstorage-02",Storage,NetApp,FAS 2720,10.60.8.96,10.60.8.98,ONTAP 9.8p3,10.60.8.100,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,952117000781,30-31,"edcawbackupstorage-01, edcawbackupstorage-02",Storage,NetApp,FAS 2720,10.60.8.97,10.60.8.99,ONTAP 9.8p3,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,SHFNC2121000050,32-33,"Shelf 1.0, Shelf 1.1",Storage,NetApp,DS212C,,,,,
Yes,DC,Data Center,National Board of Revenue Old Building,1st,Data Center,Rack-09,SUN Oracle,42,SUN Oracle ,SHJSG2116000161,32-33,"Shelf 1.0, Shelf 1.1",Storage,NetApp,DS212C,,,,,
